occupation_code	occupation_text	display_level	selectable	sort_sequence
519061	Inspectors, testers, sorters, samplers, and weighers	3	T	955
519071	Jewelers and precious stone and metal workers	3	T	956
519081	Dental laboratory technicians	3	T	958
519082	Medical appliance technicians	3	T	959
519083	Ophthalmic laboratory technicians	3	T	960
519111	Packaging and filling machine operators and tenders	3	T	961
519123	Painting, coating, and decorating workers	3	T	963
519124	Coating, painting, and spraying machine setters, operators, and tenders	3	T	964
519141	Semiconductor processing technicians	3	T	965
519151	Photographic process workers and processing machine operators	3	T	966
519161	Computer numerically controlled tool operators	3	T	968
519162	Computer numerically controlled tool programmers	3	T	969
519191	Adhesive bonding machine operators and tenders	3	T	971
519192	Cleaning, washing, and metal pickling equipment operators and tenders	3	T	972
519194	Etchers and engravers	3	T	974
519195	Molders, shapers, and casters, except metal and plastic	3	T	975
519196	Paper goods machine setters, operators, and tenders	3	T	976
519197	Tire builders	3	T	977
519198	Helpers--production workers	3	T	978
519199	Production workers, all other	3	T	979
530000	Transportation and material moving occupations	0	T	980
531041	Aircraft cargo handling supervisors	3	T	983
531047	First-line supervisors of transportation workers, except aircraft cargo handling supervisors	3	T	984
533011	Ambulance drivers and attendants, except emergency medical technicians	3	T	994
533031	Driver/sales workers	3	T	996
533032	Heavy and tractor-trailer truck drivers	3	T	997
533033	Light truck drivers	3	T	998
533052	Bus drivers, transit and intercity	3	T	1000
533058	Passenger vehicle drivers, except bus drivers, transit and intercity	3	T	1001
533099	Motor vehicle operators, all other	3	T	1002
534011	Locomotive engineers	3	T	1005
534022	Railroad brake, signal, and switch operators and locomotive firers	3	T	1007
534031	Railroad conductors and yardmasters	3	T	1008
534041	Subway and streetcar operators	3	T	1009
535011	Sailors and marine oilers	3	T	1012
535021	Captains, mates, and pilots of water vessels	3	T	1014
536021	Parking attendants	3	T	1019
536031	Automotive and watercraft service attendants	3	T	1020
536041	Traffic technicians	3	T	1021
536051	Transportation inspectors	3	T	1022
536061	Passenger attendants	3	T	1023
